candidate_id,pcs_candidate_id,m12_m,closure_level,admission_status,failed_stage,drc_count,connectivity_lvs_match,pex_cap_count,pex_total_cap_ff,raw_edge_count_all,raw_pex_sha256
grpo_leung_dfcfc2_0000,cand_0006,363,L6_post_layout_pvt,admitted_raw_pex_graph,,0,yes,134,3999.37,134,8115cd3da42a76660ac578ab6d11e08ffa2d09cbd3eaba0f3027c7fc2e0865a1
grpo_leung_dfcfc2_0001,cand_0007,178,L6_post_layout_pvt,admitted_raw_pex_graph,,0,yes,127,3169.88,127,19a57d0079146af75d40f3eafd28f7d6c65a5e552e30e4d279e0e31b39c7b095
grpo_leung_dfcfc2_0002,cand_0008,127,L2_pre_layout_pvt,rejected_before_raw_pex_graph,magical_place_route,,,,,,
grpo_leung_dfcfc2_0003,cand_0009,500,L2_pre_layout_pvt,rejected_before_raw_pex_graph,magical_place_route,,,,,,
