Title: test opamp tran
Date: Tue Mar 17 19:04:11  2026
Command: ngspice-45.2, Build Sep  6 2025   16:26:01
Plotname: Transient Analysis
Flags: real
No. Variables: 3
No. Points: 469
Variables:
	0	time	time
	1	v(vout3)	voltage
	2	v(visr)	voltage
Values:
 0	0.000000000000000e+00
	3.000667940073072e-01
	3.000000000000000e-01

 1	1.000000000000000e-08
	3.000667939930373e-01
	3.000000000000000e-01

 2	2.000000000000000e-08
	3.000667939768443e-01
	3.000000000000000e-01

 3	4.000000000000000e-08
	3.000667939428045e-01
	3.000000000000000e-01

 4	8.000000000000000e-08
	3.000667938373756e-01
	3.000000000000000e-01

 5	1.600000000000000e-07
	3.000667934799620e-01
	3.000000000000000e-01

 6	3.200000000000000e-07
	3.000667932104224e-01
	3.000000000000000e-01

 7	6.400000000000000e-07
	3.000667936568231e-01
	3.000000000000000e-01

 8	1.000000000000000e-06
	3.000667937780008e-01
	3.000000000000000e-01

 9	1.000000100000000e-06
	3.000684333018100e-01
	3.199999999878466e-01

 10	1.000000300000000e-06
	3.000716578282725e-01
	3.600000000058914e-01

 11	1.000000700000000e-06
	3.000778788967892e-01
	4.399999999996294e-01

 12	1.000001000000000e-06
	3.000822827599400e-01
	5.000000000000000e-01

 13	1.000001080000000e-06
	3.000822802413460e-01
	5.000000000000000e-01

 14	1.000001240000000e-06
	3.000822867057278e-01
	5.000000000000000e-01

 15	1.000001560000000e-06
	3.000822920112488e-01
	5.000000000000000e-01

 16	1.000002200000000e-06
	3.000823004843313e-01
	5.000000000000000e-01

 17	1.000003480000000e-06
	3.000823209855010e-01
	5.000000000000000e-01

 18	1.000006040000000e-06
	3.000823576801203e-01
	5.000000000000000e-01

 19	1.000011160000000e-06
	3.000824345131453e-01
	5.000000000000000e-01

 20	1.000021400000001e-06
	3.000825808895323e-01
	5.000000000000000e-01

 21	1.000041880000001e-06
	3.000828623451359e-01
	5.000000000000000e-01

 22	1.000082840000002e-06
	3.000833498144110e-01
