feature_profile,model,target,mae,max_abs_error,sample_count,feature_count,excluded_feature_count,metrics_path
no_total_cap_leakage,mean_baseline,cap_count,40.4996632996633,66.98148148148148,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,output_node_cap_ff,279.7940812727273,427.70516444444445,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,mean_baseline,total_cap_ff,760.7939877710437,4960.833442777777,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,cap_count,3.2181818181818183,32.0,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,output_node_cap_ff,23.20469618181819,473.11652000000004,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,nearest_neighbor,total_cap_ff,169.03461218181818,2041.8247899999997,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,cap_count,0.792652830117306,4.924165372286552,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,output_node_cap_ff,36.31726234773416,439.89279862572175,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
no_total_cap_leakage,ridge_regression,total_cap_ff,87.57812945922062,794.3924792332442,55,12,5,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/no_total_cap_leakage/metrics.json
structure_only,mean_baseline,cap_count,40.4996632996633,66.98148148148148,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
structure_only,mean_baseline,output_node_cap_ff,279.7940812727273,427.70516444444445,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
structure_only,mean_baseline,total_cap_ff,760.7939877710437,4960.833442777777,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
structure_only,nearest_neighbor,cap_count,2.0,21.0,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
structure_only,nearest_neighbor,output_node_cap_ff,25.97052436363637,473.19262000000003,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
structure_only,nearest_neighbor,total_cap_ff,674.0759074545455,5564.37941,55,9,8,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/parasitic_modeling/graph_training_baseline_grpo_batch_v2_dataset_v3/structure_only/metrics.json
