sample_uid,batch_id,candidate_id,design_id,admission_status,best_closure_level,failure_stage,graph_training_admitted,raw_pex_available,physical_closure_failed_no_raw_pex,simulation_timeout_or_hang,m12_m,pex_cap_count,pex_total_cap_ff,raw_spice_sha256,source_state_path,source_state_resolved
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,397.0,,,,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json
grpo_admission_20260822_batch_v2/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v2,grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,337.0,129,3656.83521,7dc7fc86f884ce02f43ddc464e72f42e91be124f6b44e7d9a4825974db9b2086,generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v2_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,raw_pex_available_not_l6,L2_pre_layout_pvt,post_layout_or_lvs_not_l6,0,1,0,0,331.0,124,1565.48117,104e0d8bde6d2a3a000a45213e492c8257ecd27c59ffcce83daf78fdb0cf0f1c,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,336.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,339.0,118,2001.61333,99bf8ec9e4c41dd9eed51eeaa4055bbe9f9782c2d497e0f1894de55319ddca01,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0003,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,356.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0004,leung_dfcfc2_pin_3,raw_pex_available_not_l6,L2_pre_layout_pvt,post_layout_or_lvs_not_l6,0,1,0,0,363.0,109,4461.6688,eaadf1ec6aca15a7a40c2c91591c0fe88a3d5f0cb8797a365e92a6b9ea4ab422,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0005,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0005,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,375.0,135,3351.97493,db2688cc59e17d4e6639024d144539b90b8f292f7fd0b0e431e2905b70a96b4f,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0005.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0006,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0006,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,380.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0006.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0007,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0007,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,390.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0007.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0008,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0008,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,390.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0008.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0009,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0009,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,390.0,,,,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0009.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0010,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0010,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,392.0,129,2365.25273,b5d20d446e4deda88667ef1142a1663630706e6eae317cadbb460598d8ac00e0,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0010.source_state.json
grpo_admission_20260822_batch_v3_controlled/grpo_leung_dfcfc2_0011,grpo_admission_20260822_batch_v3_controlled,grpo_leung_dfcfc2_0011,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,394.0,112,1991.44623,75338bc53fa99c9824c2960692379d99482861c704e12d83a0359705558d5f17,generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v3_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0011.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0000,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0000,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,100.0,122,1843.24312,629f90e26d186f168fb1f4445e52092983de32d820f0441b8b5be6a99fdbed0e,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0000.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0001,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0001,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,154.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0001.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0002,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0002,leung_dfcfc2_pin_3,admitted_raw_pex_graph,L6_post_layout_pvt,,1,1,0,0,161.0,129,1287.5445,3ae489e2fd52208264747c8db906c2f1e17302670f10f89e00d8b57dbb27dc38,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0002.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0003,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0003,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,100.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0003.source_state.json
grpo_admission_20260822_batch_v4_classifier_guided_stratified/grpo_leung_dfcfc2_0004,grpo_admission_20260822_batch_v4_classifier_guided_stratified,grpo_leung_dfcfc2_0004,leung_dfcfc2_pin_3,physical_closure_failed,L2_pre_layout_pvt,magical_place_route,0,0,1,0,100.0,,,,generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json,/home/qlf/IOT/references/pcs-harness-align-origin-main-20260815/generated/analog_harness/grpo_batch_v4_l1_l6_admission_20260822/l0_replay_preparation/source_states/grpo_leung_dfcfc2_0004.source_state.json
