model,feature,importance,signed_weight
decision_tree_depth3_balanced,action_norm_20,0.5217391304347809,
decision_tree_depth3_balanced,action_norm_18,0.44795783926218585,
decision_tree_depth3_balanced,sizing__mosfet_25_1_w_gm3_nmos,0.030303030303030585,
decision_tree_depth3_balanced,sizing__mosfet_11_1_l_gm2_pmos,2.5861665750091825e-15,
logistic_l2_balanced,mos_w_all_min,0.4336541684701765,0.4336541684701765
logistic_l2_balanced,pmos_w_min,0.4252152236415359,0.4252152236415359
logistic_l2_balanced,mos_l_all_max,0.3888411983274834,-0.3888411983274834
logistic_l2_balanced,pmos_m_min,0.36063477907325914,0.36063477907325914
logistic_l2_balanced,sizing__mosfet_23_2_w_load2_nmos,0.35825751890140983,-0.35825751890140983
logistic_l2_balanced,action_norm_18,0.35792221233000887,-0.35792221233000887
logistic_l2_balanced,pmos_w_max,0.3547333643701346,-0.3547333643701346
logistic_l2_balanced,action_norm_25,0.3401836899397664,0.3401836899397664
logistic_l2_balanced,sizing__capacitor_0,0.33818458345255226,0.33818458345255226
logistic_l2_balanced,sizing__mosfet_25_1_m_gm3_nmos,0.33438279475003635,0.33438279475003635
logistic_l2_balanced,action_norm_23,0.3247442246301398,0.3247442246301398
logistic_l2_balanced,mos_w_all_max,0.3156952528655043,-0.3156952528655043
logistic_l2_balanced,action_norm_09,0.31182396517237176,-0.31182396517237176
logistic_l2_balanced,sizing__mosfet_11_1_w_gm2_pmos,0.30669468632240565,-0.30669468632240565
logistic_l2_balanced,action_norm_03,0.30667372340475463,0.30667372340475463
logistic_l2_balanced,sizing__mosfet_8_2_w_gm1_pmos,0.3051769098445506,0.3051769098445506
logistic_l2_balanced,mos_width_times_m_sum,0.2715480285692516,-0.2715480285692516
logistic_l2_balanced,action_norm_08,0.2639253882438765,0.2639253882438765
logistic_l2_balanced,sizing__mosfet_10_1_m_gm4_pmos,0.24990077567336152,0.24990077567336152
logistic_l2_balanced,action_norm_11,0.23525590638913219,-0.23525590638913219
logistic_l2_balanced,sizing__mosfet_11_1_m_gm2_pmos,0.23503821194909238,-0.23503821194909238
