feature,mean_admitted,mean_not_admitted,delta_admitted_minus_not,abs_standardized_effect
mos_width_times_m_sum,1953.4428571428573,2811.7000000000003,-858.257142857143,0.9740966174464512
action_norm_12,-0.411562266094344,-0.03700969675007988,-0.3745525693442641,0.7210691665373105
sizing__mosfet_12_1_w_gmf2_pmos,3.3000000000000003,5.070588235294117,-1.7705882352941171,0.7178726157679114
action_norm_20,0.1766394078731537,0.6279229600639904,-0.4512835521908367,0.6925203705669892
sizing__mosfet_23_2_m_load2_nmos,30.0,40.88235294117647,-10.882352941176471,0.6825420277982066
sizing__mosfet_25_1_m_gm3_nmos,30.428571428571427,19.647058823529413,10.781512605042014,0.6763836321933346
action_norm_18,-0.12422941837991987,0.30562665620270896,-0.4298560745826288,0.6760537666057738
action_norm_23,0.20264132108007157,-0.23436357760254076,0.43700489868261233,0.673797392964661
sizing__mosfet_23_2_w_load2_nmos,4.6571428571428575,6.694117647058824,-2.0369747899159663,0.6735564707165131
mos_aspect_times_m_sum,1459.320262635363,2644.7428213397975,-1185.4225587044346,0.6576074265635506
pmos_w_max,8.171428571428573,9.323529411764707,-1.152100840336134,0.6497963762594884
action_norm_25,0.5500376905713763,0.0821481829180437,0.4678895076533326,0.6356607170086465
sizing__capacitor_0,23.428571428571427,16.647058823529413,6.781512605042014,0.6290125071756186
mos_w_all_max,8.971428571428572,9.652941176470588,-0.6815126050420162,0.5977300867775005
mos_l_all_max,4.6000000000000005,4.847058823529412,-0.24705882352941178,0.577991153086861
requested_cap_sum,39.0,32.11764705882353,6.882352941176471,0.5285897404852958
sizing__mosfet_0_8_l_biascm_pmos,2.6142857142857143,1.8058823529411767,0.8084033613445376,0.5271650884935897
action_norm_01,-0.06407105071204049,-0.42152636191424203,0.35745531120220153,0.5255446403041965
mos_w_all_min,0.9142857142857144,0.6,0.3142857142857144,0.512704488945079
pmos_m_min,10.571428571428571,6.529411764705882,4.042016806722689,0.49427865337095644
pmos_to_nmos_m_ratio,10.465261081882272,7.659623650930015,2.805637430952257,0.4663749498782124
pmos_w_min,1.4000000000000001,0.9235294117647059,0.4764705882352942,0.4578111502369685
nmos_l_min,0.7571428571428571,1.0411764705882351,-0.28403361344537803,0.4454382785646852
mos_l_all_min,0.5,0.6823529411764707,-0.18235294117647072,0.41429660589545975
mos_m_all_max,370.42857142857144,384.6470588235294,-14.218487394957947,0.40614580712547876
pmos_m_max,370.42857142857144,384.6470588235294,-14.218487394957947,0.40614580712547876
record__m12_m,370.42857142857144,384.6470588235294,-14.218487394957947,0.40614580712547876
sizing__mosfet_12_1_m_gmf2_pmos,370.42857142857144,384.6470588235294,-14.218487394957947,0.40614580712547876
action_norm_14,0.35216948815754484,0.42301013627473044,-0.0708406481171856,0.4042913727371796
mos_gate_area_proxy_sum,5245.280000000001,6996.370588235294,-1751.0905882352936,0.40034157453146674
action_norm_15,0.1990251594356128,-0.08264223135569516,0.281667390791308,0.39145625562785147
sizing__mosfet_18_7_w_biascm_nmos,6.185714285714285,4.858823529411765,1.3268907563025198,0.3884463795840717
