graph_id,design_id,edge_positive_count,edge_power_count,edge_zero_count,node_degree_max,node_degree_mean,num_edges,num_nodes,output_like_node_count,power_node_count,cap_count,total_cap_ff,output_node_cap_ff
leung_nmcf_reproduction_sweep_20260818_v1/leung_repro_sweep_0003_load2_nmos_w_pstep,leung_nmcf_pin_3,106.0,33.0,9.0,17.0,12.777777777777779,115.0,18.0,2.0,2.0,115.0,232.13655,10.30153
leung_nmcnr_pin_3:cand_0001,leung_nmcnr_pin_3,106.0,33.0,12.0,17.0,13.11111111111111,118.0,18.0,2.0,2.0,118.0,274.77841,9.95174
peng_acbc_pin_3:cand_0001,peng_acbc_pin_3,112.0,35.0,15.0,18.0,13.368421052631579,127.0,19.0,2.0,2.0,127.0,251.96947,2.68355
qu2017_azc_pin_3:cand_0001,qu2017_azc_pin_3,101.0,39.0,23.0,20.0,11.80952380952381,124.0,21.0,2.0,2.0,124.0,162.41758,1.67224
ramos_pfc_pin_3:cand_0001,ramos_pfc_pin_3,101.0,33.0,13.0,17.0,12.666666666666666,114.0,18.0,2.0,2.0,114.0,1758.0844,114.514
sau_cfcc_pin_3:cand_0001,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,2.41469
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0000_baseline,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0001_cap0_mstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0002_gm1_pmos_w_pstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.93797,11.69982
sau_cfcc_reproduction_sweep_20260818_v1/sau_repro_sweep_0004_cap0_pstep,sau_cfcc_pin_3,92.0,33.0,7.0,17.0,11.0,99.0,18.0,2.0,2.0,99.0,227.91273,11.69982
smcnr_se_2st_amp:cand_0001,smcnr_se_2st_amp,32.0,15.0,2.0,8.0,7.555555555555555,34.0,9.0,3.0,2.0,34.0,432.73855,172.429
smcnr_se_2st_amp:smcnr_sizing_probe_0001,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
smcnr_se_2st_amp:smcnr_sizing_probe_0002,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,764.49118,645.71923
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0000_baseline,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.45058,645.62162
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0001_diff_pair_w_m5pct,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,763.42667,645.54552
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0002_diff_pair_w_p5pct,smcnr_se_2st_amp,30.0,15.0,3.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,765.46556,645.69675
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0003_load_nmos_w_mstep,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.47736,645.51523
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0004_load_nmos_w_pstep,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,764.49436,645.71805
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0005_second_stage_pmos_w_p5pct,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.57809,645.69652
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0006_second_stage_pmos_w_p10pct,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,764.70333,645.7717
smcnr_sizing_sweep_20260817_v1/smcnr_sweep_0007_second_stage_nmos_w_p5pct,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,763.63822,644.98095
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0008_diff_m_load_m,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,763.45471,645.43913
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0009_diff_m_load_p,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,763.47053,645.64185
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0010_diff_p_load_m,smcnr_se_2st_amp,30.0,15.0,3.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,765.49032,645.59025
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0011_diff_p_load_p,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,765.51024,645.79409
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0012_diff_p_pmos_p5,smcnr_se_2st_amp,30.0,15.0,3.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,765.59308,645.77166
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0013_diff_m_pmos_p10,smcnr_se_2st_amp,31.0,15.0,2.0,8.0,7.333333333333333,33.0,9.0,3.0,2.0,33.0,763.6796,645.69559
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0014_load_p_nmos_p5,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,763.67029,645.06645
smcnr_sizing_sweep_combo_20260817_v1/smcnr_combo_0015_pmos_p10_nmos_p5,smcnr_se_2st_amp,30.0,15.0,2.0,8.0,7.111111111111111,32.0,9.0,3.0,2.0,32.0,763.88934,645.13088
tan_clia_pin_3:cand_0001,tan_clia_pin_3,116.0,33.0,14.0,17.0,14.444444444444445,130.0,18.0,2.0,2.0,130.0,134.28059,3.27131
yan_az_pin_3:cand_0001,yan_az_pin_3,104.0,33.0,10.0,17.0,12.666666666666666,114.0,18.0,2.0,2.0,114.0,135.3599,2.52636
